Date,Value
8/29/2017,394649
8/30/2017,400220
8/31/2017,384421
09-01-2017,390997
09-02-2017,331797
09-03-2017,302525
09-04-2017,442592
09-05-2017,444572
09-06-2017,496376
09-07-2017,448347
09-08-2017,463670
09-09-2017,383654
09-10-2017,325128
09-11-2017,365384
09-12-2017,404898
9/13/2017,365679
9/14/2017,380251
9/15/2017,441767
9/16/2017,373764
9/17/2017,289517
9/18/2017,362764
9/19/2017,337752
9/20/2017,324984
9/21/2017,317074
9/22/2017,271470
9/23/2017,260107
9/24/2017,280929
9/25/2017,306614
9/26/2017,306075
9/27/2017,309047
9/28/2017,329208
9/29/2017,326502
9/30/2017,295798
10-01-2017,283871
10-02-2017,306095
10-03-2017,327906
10-04-2017,307399
10-05-2017,314808
10-06-2017,319882
10-07-2017,291091
10-08-2017,296829
10-09-2017,328172
10-10-2017,349605
10-11-2017,344305
10-12-2017,363411
10/13/2017,379136
10/14/2017,332169
10/15/2017,328921
10/16/2017,408297
10/17/2017,505611
10/18/2017,470449
10/19/2017,494184
10/20/2017,546837
10/21/2017,462902
10/22/2017,435493
10/23/2017,468168
10/24/2017,492288
10/25/2017,460419
10/26/2017,466406
10/27/2017,486147
10/28/2017,484554
10/29/2017,494176
10/30/2017,532626
10/31/2017,519906
11-01-2017,527783
11-02-2017,529277
11-03-2017,485790
11-04-2017,398758
11-05-2017,417102
11-06-2017,511663
11-07-2017,470418
11-08-2017,480413
11-09-2017,467172
11-10-2017,457427
11-11-2017,394378
11-12-2017,434380
11/13/2017,443176
11/14/2017,475984
11/15/2017,540593
11/16/2017,491482
11/17/2017,508590
11/18/2017,459679
11/19/2017,464563
11/20/2017,530141
11/21/2017,524044
11/22/2017,546489
11/23/2017,537068
11/24/2017,525529
11/25/2017,561166
11/26/2017,542484
11/27/2017,608695
11/28/2017,638989
11/29/2017,663579
11/30/2017,655457
12-01-2017,622720
12-02-2017,627785
12-03-2017,693808
12-04-2017,701834
12-05-2017,693090
12-06-2017,791746
12-07-2017,659068
12-08-2017,766411
12-09-2017,707223
12-10-2017,716575
12-11-2017,828899
12-12-2017,872340
12/13/2017,909631
12/14/2017,942559
12/15/2017,904346
12/16/2017,899857
12/17/2017,876574
12/18/2017,984021
12/19/2017,1092234
12/20/2017,986104
12/21/2017,1072665
12/22/2017,1103523
12/23/2017,918881
12/24/2017,758234
12/25/2017,752361
12/26/2017,813510
12/27/2017,912752
12/28/2017,949503
12/29/2017,1090191
12/30/2017,1136659
12/31/2017,946981
01-01-2018,908945
01-02-2018,1153936
01-03-2018,1238030
01-04-2018,1349890
01-05-2018,1271577
01-06-2018,1226417
01-07-2018,1152722
01-08-2018,1215473
01-09-2018,1256240
01-10-2018,1177685
01-11-2018,1173965
01-12-2018,1118757
1/13/2018,1179321
1/14/2018,1081593
1/15/2018,1206420
1/16/2018,1277936
1/17/2018,1277083
1/18/2018,1205184
1/19/2018,1043257
1/20/2018,984489
1/21/2018,1006530
1/22/2018,972911
1/23/2018,928494
1/24/2018,913668
1/25/2018,788515
1/26/2018,953429
1/27/2018,831992
1/28/2018,889104
1/29/2018,936845
1/30/2018,906578
1/31/2018,877284
02-01-2018,1008759
02-02-2018,981133
02-03-2018,814486
02-04-2018,800876
02-05-2018,875761
02-06-2018,888219
02-07-2018,818625
02-08-2018,681344
02-09-2018,789807
02-10-2018,848390
02-11-2018,773496
02-12-2018,829020
2/13/2018,745822
2/14/2018,746384
2/15/2018,777318
2/16/2018,704758
2/17/2018,772079
2/18/2018,756092
2/19/2018,811384
2/20/2018,886897
2/21/2018,850504
2/22/2018,761893
2/23/2018,733084
2/24/2018,732861
2/25/2018,690582
2/26/2018,737453
2/27/2018,694583
2/28/2018,720368
03-01-2018,684404
03-02-2018,744666
03-03-2018,673465
03-04-2018,643241
03-05-2018,752756
03-06-2018,712591
03-07-2018,783757
03-08-2018,690139
03-09-2018,650058
03-10-2018,591377
03-11-2018,608899
03-12-2018,677908
3/13/2018,699093
3/14/2018,671198
3/15/2018,654531
3/16/2018,654584
3/17/2018,593203
3/18/2018,684094
3/19/2018,703891
3/20/2018,661791
3/21/2018,697872
3/22/2018,619453
3/23/2018,677103
3/24/2018,613203
3/25/2018,526372
3/26/2018,626615
3/27/2018,584055
3/28/2018,579858
3/29/2018,583673
3/30/2018,633616
3/31/2018,584396
04-01-2018,545141
04-02-2018,598505
04-03-2018,645977
04-04-2018,628441
04-05-2018,695871
04-06-2018,647981
04-07-2018,535865
04-08-2018,595733
04-09-2018,609799
04-10-2018,571388
04-11-2018,609102
04-12-2018,692606
4/13/2018,730344
4/14/2018,611188
4/15/2018,619985
4/16/2018,664402
4/17/2018,742823
4/18/2018,703293
4/19/2018,814318
4/20/2018,832220
4/21/2018,746104
4/22/2018,748858
4/23/2018,802870
4/24/2018,816357
4/25/2018,799014
4/26/2018,793873
4/27/2018,764479
4/28/2018,775321
4/29/2018,756651
4/30/2018,778133
05-01-2018,713839
05-02-2018,787722
05-03-2018,839586
05-04-2018,1000526
05-05-2018,789261
05-06-2018,691273
05-07-2018,789863
05-08-2018,820098
05-09-2018,831127
05-10-2018,854827
05-11-2018,826099
05-12-2018,788487
5/13/2018,762439
5/14/2018,801788
5/15/2018,779210
5/16/2018,807257
5/17/2018,835761
5/18/2018,831831
5/19/2018,846288
5/20/2018,777283
5/21/2018,802211
5/22/2018,822409
5/23/2018,833377
5/24/2018,811167
5/25/2018,800838
5/26/2018,761932
5/27/2018,776024
5/28/2018,861002
5/29/2018,812183
5/30/2018,817167
5/31/2018,832842
06-01-2018,758242
06-02-2018,768017
06-03-2018,809997
06-04-2018,807165
06-05-2018,780654
06-06-2018,754070
06-07-2018,775828
06-08-2018,720017
06-09-2018,769427
06-10-2018,771280
06-11-2018,768985
06-12-2018,770199
6/13/2018,797637
6/14/2018,765916
6/15/2018,763803
6/16/2018,639775
6/17/2018,648548
6/18/2018,695753
6/19/2018,778765
6/20/2018,803076
6/21/2018,752035
6/22/2018,770457
6/23/2018,675918
6/24/2018,671994
6/25/2018,837265
6/26/2018,732170
6/27/2018,771938
6/28/2018,744784
6/29/2018,735092
6/30/2018,632981
07-01-2018,622633
07-02-2018,489559
07-03-2018,573532
07-04-2018,447112
07-05-2018,527586
07-06-2018,459075
07-07-2018,484105
07-08-2018,631505
07-09-2018,651926
07-10-2018,691771
07-11-2018,643920
07-12-2018,566058
7/13/2018,563317
7/14/2018,508951
7/15/2018,453706
7/16/2018,703999
7/17/2018,701292
7/18/2018,746145
7/19/2018,734702
7/20/2018,671608
7/21/2018,620634
7/22/2018,675356
7/23/2018,758657
7/24/2018,784910
7/25/2018,787527
7/26/2018,725630
7/27/2018,788715
7/28/2018,703973
7/29/2018,716354
7/30/2018,757712
7/31/2018,745063
08-01-2018,757758
08-02-2018,779928
08-03-2018,753190
08-04-2018,720548
08-05-2018,704249
08-06-2018,699536
08-07-2018,636342
08-08-2018,565663
08-09-2018,538530
08-10-2018,613892
08-11-2018,657312
08-12-2018,641927
8/13/2018,694941
8/14/2018,690348
8/15/2018,648565
8/16/2018,716732
8/17/2018,607270
8/18/2018,627522
8/19/2018,599660
8/20/2018,663769
8/21/2018,605639
8/22/2018,594918
8/23/2018,599557
8/24/2018,596227
8/25/2018,577239
8/26/2018,574072
8/27/2018,645935
8/28/2018,613844
8/29/2018,546841
8/30/2018,592847
8/31/2018,577258
09-01-2018,656254
09-02-2018,620267
09-03-2018,631429
09-04-2018,589521
09-05-2018,626957
09-06-2018,588959
09-07-2018,582184
09-08-2018,543337
09-09-2018,565631
09-10-2018,561611
09-11-2018,557317
09-12-2018,570673
9/13/2018,555753
9/14/2018,514394
9/15/2018,479695
9/16/2018,458432
9/17/2018,553720
